ct_id,geo,units_total,units_bachelor,units_1br,units_2br,units_3br_plus,share_bachelor,share_1br,share_2br,share_3br_plus,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,median_household_income_2020,annual_rent_total,rent_income_pct,affordability_tier
0141.02,0141.02 - Winnipeg,805.0,25.0,488.0,290.0,2.0,0.031055900621118012,0.6062111801242236,0.36024844720496896,0.002484472049689441,869.0,1081.0,1201.0,,1118.0,,0.5,0.3,,0.4,60400.0,13416.0,22.211920529801326,Higher relative burden
0142.01,0142.01 - Winnipeg,388.0,4.0,218.0,166.0,0.0,0.010309278350515464,0.5618556701030928,0.42783505154639173,0.0,,1001.0,1276.0,,1118.0,,,,,,72500.0,13416.0,18.504827586206897,Moderate relative burden
0142.02,0142.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,114000.0,,,
0142.03,0142.03 - Winnipeg,,43.0,,920.0,69.0,,,,,843.0,1280.0,1529.0,1653.0,1373.0,,0.2,1.0,,0.7,51200.0,16476.0,32.1796875,Highest relative burden
0142.04,0142.04 - Winnipeg,,,,,,,,,,,,,,,,,,,,85000.0,,,
0150.01,0150.01 - Winnipeg,48.0,0.0,0.0,48.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,129000.0,,,
0150.02,0150.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,155000.0,,,
0160.00,0160.00 - Winnipeg,6.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,107000.0,,,
0161.01,0161.01 - Winnipeg,,,,,,,,,,,,,,,,,,,,55600.0,,,
0161.02,0161.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,80000.0,,,
0500.01,0500.01 - Winnipeg,,2.0,508.0,593.0,76.0,,,,,,1132.0,1343.0,,1268.0,,,3.0,,2.5,65500.0,15216.0,23.23053435114504,Highest relative burden
0500.02,0500.02 - Winnipeg,103.0,0.0,27.0,70.0,6.0,0.0,0.2621359223300971,0.6796116504854369,0.05825242718446602,,,,,,,,,,,90000.0,,,
0500.04,0500.04 - Winnipeg,568.0,8.0,224.0,324.0,12.0,0.014084507042253521,0.39436619718309857,0.5704225352112676,0.02112676056338028,,1133.0,1222.0,,1181.0,,2.1,1.2,,1.7,68000.0,14172.0,20.841176470588234,Higher relative burden
0500.07,0500.07 - Winnipeg,,,,,,,,,,,,,,,,,,,,116000.0,,,
0500.08,0500.08 - Winnipeg,84.0,0.0,16.0,65.0,3.0,0.0,0.19047619047619047,0.7738095238095238,0.03571428571428571,,,,,,,,,,,139000.0,,,
0500.09,0500.09 - Winnipeg,,,,,,,,,,,,,,,,,,,,131000.0,,,
0500.10,0500.10 - Winnipeg,330.0,0.0,183.0,147.0,0.0,0.0,0.5545454545454546,0.44545454545454544,0.0,,,,,,,,,,,87000.0,,,
0500.11,0500.11 - Winnipeg,336.0,0.0,55.0,269.0,12.0,0.0,0.1636904761904762,0.8005952380952381,0.03571428571428571,,1404.0,1699.0,,1663.0,,0.0,0.3,,0.3,108000.0,19956.0,18.477777777777778,Moderate relative burden
0500.12,0500.12 - Winnipeg,478.0,0.0,65.0,363.0,50.0,0.0,0.13598326359832635,0.7594142259414226,0.10460251046025104,,,,,,,,,,,107000.0,,,
0500.13,0500.13 - Winnipeg,805.0,0.0,296.0,422.0,87.0,0.0,0.36770186335403726,0.5242236024844721,0.10807453416149068,,1514.0,1762.0,2035.0,1698.0,,,0.6,,1.8,103000.0,20376.0,19.782524271844657,Higher relative burden
0501.01,0501.01 - Winnipeg,,51.0,626.0,950.0,68.0,,,,,877.0,1159.0,1297.0,,1244.0,,1.8,1.6,,1.6,52000.0,14928.0,28.707692307692305,Highest relative burden
0501.02,0501.02 - Winnipeg,478.0,0.0,118.0,284.0,76.0,0.0,0.24686192468619247,0.5941422594142259,0.1589958158995816,,1375.0,1585.0,1796.0,1561.0,,,,,,88000.0,18732.0,21.286363636363635,Higher relative burden
0501.03,0501.03 - Winnipeg,,26.0,775.0,953.0,50.0,,,,,936.0,1410.0,1419.0,,1421.0,,0.8,1.7,,1.2,59200.0,17052.0,28.804054054054053,Highest relative burden
0502.00,0502.00 - Winnipeg,,,,,,,,,,,,,,,,,,,,93000.0,,,
0503.00,0503.00 - Winnipeg,39.0,8.0,21.0,10.0,0.0,0.20512820512820512,0.5384615384615384,0.2564102564102564,0.0,,,,,,,,,,,106000.0,,,
0510.02,0510.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,141000.0,,,
0510.03,0510.03 - Winnipeg,,12.0,553.0,930.0,98.0,,,,,,1561.0,2136.0,2473.0,1927.0,,0.5,0.1,2.9,0.5,78500.0,23124.0,29.457324840764333,Highest relative burden
0510.06,0510.06 - Winnipeg,,,,,,,,,,,,,,,,,,,,151000.0,,,
